id,id_imovel,titulo,tipo_transacao,tipo_publicacao,imagem_url,imagens_url,tipo_imovel,descricao,preco,area_total,area_util,quartos,banheiros,suites,garagem,pais,estado,cidade,bairro,endereco,numero,latitude,longitude,website,video_url
1,251,Apartamento no Bairro Boa Vista em Rio Preto,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960128229606716/cxeugd42ntnkmdeym2uwyziy_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960129176192610/gpysczg2ntnkmdeyngqzyjqy_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960127230222721/d4yj3fi2ntnkmdeymmuwzwi3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960117061227063/zgdlhis2ntnkmdexogi3ytk2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960115998836771/g9zfvu82ntnkmdexn2e4nmiw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960110193141028/fdvgp42ntnkmdexmwq3zgnm_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960111296099152/20g3vbo2ntnkmdexmmywztyz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960113122036506/drp09y2ntnkmdexngm2odbl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960118067841454/hleflbi2ntnkmdexowi5ndhh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960115044254472/gmp6xt02ntnkmdexnmizodjj_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960112202516268/eg95ak2ntnkmdexm2rhmtjl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960114139331984/yxminqk2ntnkmdexnwnhyjgw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960119433306723/9pikxcm2ntnkmdexyjflntaz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960120380126592/fzxrrw2ntnkmdexyzexnthl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960121284466061/grr1lam2ntnkmdexy2vlmjvi_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960122437287925/dnn0xki2ntnkmdexztfmntey_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960125455966348/jtxdam2ntnkmdeymtizzdg3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960123289088244/fw6avoi2ntnkmdexzwvmndy3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960126401597533/z8rxqe2ntnkmdeymje2otnj_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960124359685762/zymvsrs2ntnkmdeymdbjm2my_md.jpg""]",Residential / Apartment,"Apartamento no Edifício Cimo


📐164,50m²

✅04 dormitórios sendo uma suíte com closet e sacada
✅Todos os dormitórios equipado com armários
✅Banheiro Social
✅Lavabo
✅Banheiro de funcionários
✅Sala ampla de dois ambientes com sacada
✅Cozinha com armários
✅Lavanderia com armários
✅02 vagas de garagens cobertas.

🎯Localizado no Bairro Boa Vista a 100 metros da Avenida Bady Bassit


Estuda permuta por casas na região do Hospital Austa.


Agende sua visita

📲17 99172-6078
💳Creci 214072F

Visite nosso site: www.valteirimoveis.com.br",460000,176,165,4,4,1,2,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Rua Boa Vista,669,-20.808212,-49.3837807,,
2,251,Apartamento no Bairro Boa Vista em Rio Preto,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960128229606716/cxeugd42ntnkmdeym2uwyziy_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960129176192610/gpysczg2ntnkmdeyngqzyjqy_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960127230222721/d4yj3fi2ntnkmdeymmuwzwi3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960117061227063/zgdlhis2ntnkmdexogi3ytk2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960115998836771/g9zfvu82ntnkmdexn2e4nmiw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960110193141028/fdvgp42ntnkmdexmwq3zgnm_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960111296099152/20g3vbo2ntnkmdexmmywztyz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960113122036506/drp09y2ntnkmdexngm2odbl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960118067841454/hleflbi2ntnkmdexowi5ndhh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960115044254472/gmp6xt02ntnkmdexnmizodjj_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960112202516268/eg95ak2ntnkmdexm2rhmtjl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960114139331984/yxminqk2ntnkmdexnwnhyjgw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960119433306723/9pikxcm2ntnkmdexyjflntaz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960120380126592/fzxrrw2ntnkmdexyzexnthl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960121284466061/grr1lam2ntnkmdexy2vlmjvi_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960122437287925/dnn0xki2ntnkmdexztfmntey_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960125455966348/jtxdam2ntnkmdeymtizzdg3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960123289088244/fw6avoi2ntnkmdexzwvmndy3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960126401597533/z8rxqe2ntnkmdeymje2otnj_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2960124359685762/zymvsrs2ntnkmdeymdbjm2my_md.jpg""]",Residential / Apartment,"Apartamento no Edifício Cimo


📐164,50m²

✅04 dormitórios sendo uma suíte com closet e sacada
✅Todos os dormitórios equipado com armários
✅Banheiro Social
✅Lavabo
✅Banheiro de funcionários
✅Sala ampla de dois ambientes com sacada
✅Cozinha com armários
✅Lavanderia com armários
✅02 vagas de garagens cobertas.

🎯Localizado no Bairro Boa Vista a 100 metros da Avenida Bady Bassit


Estuda permuta por casas na região do Hospital Austa.


Agende sua visita

📲17 99172-6078
💳Creci 214072F

Visite nosso site: www.valteirimoveis.com.br",460000,176,165,4,4,1,2,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Rua Boa Vista,669,-20.808212,-49.3837807,,
3,321,Apartamento Espetacular no Edificio Duetto Boulevard,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424024616929911/feydhm2nwzimzazyzrimjk0_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424027007134206/8u8nh2q2nwzimzazzwfhodew_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424028136408168/dcyzhw2nwzimzazzmnhmgmw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424029246257117/4iijmi42nwzimza0mgu0ymvh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424030469362933/j66xydu2nwzimza0mji3mzvk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424031769900524/6varb7w2nwzimza0mzcwogy3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424033057370667/9iou7gw2nwzimza0ngi2yjll_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424034260152926/1g5knmq2nwzimza0nwu4m2q3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424035494119052/46cuce2nwzimza0nzjkmzy5_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424037009659962/jeauefc2nwzimza0ogfimtrk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424038139049358/sizy1bm2nwzimza0ownhyjfl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424044584413825/jeygyqq2nwzimza1mdqzmty2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424046223732465/wd1a1qo2nwzimza1mwrmmzc4_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424047385129231/fyjb5qw2nwzimza1mzeyogy3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424048553227676/sdpyfku2nwzimza1ndniogrl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424049964356800/cgknbhu2nwzimza1nwewmdux_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424051051728687/rhugwkw2nwzimza1nmi1ntmz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424052048980017/l9ac1ua2nwzimza1n2i0yjbj_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424053059311709/btsszm2nwzimza1ogi3mgrk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424054086781827/w52mkxa2nwzimza1owjkzwrk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424055466724656/hryursm2nwzimza1yji2odyy_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/15424056528980468/qob93rg2nwzimza1yzm1ogmy_md.jpg""]",Residential / Apartment,"𝗔𝗽𝗮𝗿𝘁𝗮𝗺𝗲𝗻𝘁𝗼 𝗗𝘂𝗲𝘁𝗼 𝗕𝗼𝘂𝗹𝗲𝘃𝗮𝗿𝗱 𝗲𝗺 𝗦𝗮̃𝗼 𝗝𝗼𝘀𝗲́ 𝗱𝗼 𝗥𝗶𝗼 𝗣𝗿𝗲𝘁𝗼-𝗦𝗣

📐Área útil 136m²

✅️03 suítes todas com armários embutidos e iluminação e climatizadas 
✅️Lavabo
✅️Sala pra 03 ambientes
✅️Toda em porcelanato
✅️Sacada com cortina de vidros
✅️Cozinha e lavanderia com armários planejados  ✅️Banheiro social 
✅️03 vagas de garagem
✅️Andar mediano ( FACE SOMBRA ) 
✅️Sacada gourmet com churrasqueira e pia 
✅️Apartamento impecável 

Analisa permutas de menores valores até 500.00

💰R$ 1.000.000,00

17 99172-6078 
Creci 214072F 

Visite nosso site: www.valteirimoveis.com.br",1000000,136,136,4,5,3,3,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Avenida Emílio Trevisan,550,-20.827611,-49.3833542,,
4,370,Apartamento no Condomínio Edifício Vancouver,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28034326503491608/cnltqga2nmjiowizytjmnziz_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28032851897225439/9byurc02nmjiotu3nzhmytg2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28032852466261409/bh0pqgw2nmjiotu3odi2njbh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28032853024875445/5vrkydo2nmjiotu3ogfly2y0_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28032853779838631/zdp54d42nmjiotu3otcyzmzk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28032854495433160/lzodui2nmjiotu3ytjkogfl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28032855443907246/fkqpztc2nmjiotu3yjiwzjbk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28034324349504354/a5lb5k2nmjiowizoda5y2qw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28034324920650616/7caxrrg2nmjiowizodkxndi5_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28034325434712156/biozbla2nmjiowizotflywzk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28034326004138255/nucfkxk2nmjiowizowe5ymjl_md.jpg""]",Residential / Apartment,"Condomínio Edifício Vancouver

📐96m²

✅03 dormitórios todos com armários 
✅Sala em formato de L
✅Sacada nos dormitórios
✅Sacada na sala
✅Cozinha planejada
✅Área serviço
✅Despensa
✅02 portas entrada (sala e área serviço)
✅1 vaga garagem
🎯2' andar

📌Condomínio:
✔️Área de lazer com quiosque
✔️Churrasqueira
✔️Salão de festas
✔️Piscina

📍Condomínio R$440,00
📍IPTU R$63,00 

💰R$ 650.000,00

Agende sua visita 


📲17 99172-6078
💳Creci 214072F

🌐Visite nosso site: www.valteirimoveis.com.br",650000000,96,96,3,2,1,1,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Rua Portugal,1285,-20.8319561,-49.3824594,,
5,448,✨ Alto padrão na região do Shopping Plaza – Edifício Dureto Boulevard,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/36323146062159/ntwq82u2oddhyjrkmjq4mty2_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/100432791848966/9cqwxzk2oddhyjrjzwuzzwew_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/82132617530093/ybuzp6g2oddhyjrkmgi4yjgx_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/100438082243524/qxdgrhw2oddhyjrkndm2ytc3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/82137532461388/6axy3j02oddhyjrknwe0mtqz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/36327852044326/epfeepk2oddhyjrknzawnmm5_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28324342051262/bssqci2oddhyjrkodc2mja0_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/100443867295438/1wq7y8m2oddhyjrkytaymte4_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/82143472545714/cigodr82oddhyjrkyjk1nmvl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/36333820663676/zrrujwk2oddhyjrky2vizgy4_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28330227922739/6dxnrl42oddhyjrkztvhnzg2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/100449634505553/hqrwp0a2oddhyjrkzmjkyjy2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/36338155181136/p3a2vss2oddhyjrlmtq5zwey_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28334676624498/yxde42oddhyjrlmmm3yjmz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/100454005648818/x8k7uvo2oddhyjrlndi0mdix_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/82153343722336/bt5al42oddhyjrlntc2mzlk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28338686100257/zbknsue2oddhyjrlnmnhntq2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/100457906693888/eed5vem2oddhyjrlodbizdax_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/82157208642932/skskbhy2oddhyjrlotu1mdfh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/36347502571274/eqcmlru2oddhyjrlytllmzk2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/28343833981146/q7z58kq2oddhyjrlymvlm2m4_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/100463377564363/daa3sfu2oddhyjrlzddjytg4_md.jpg""]",Residential / Apartment,"📐 136m² com ambientes amplos e integrados
🛏️ 03 suítes com armários, iluminação e ar-condicionado

Slide 3 – Conforto e Estilo:
🛋️ Sala para 03 ambientes
🌇 Sacada gourmet com churrasqueira, pia e cortina de vidro

Slide 4 – Funcionalidade:
🍽️ Cozinha planejada
🧺 Lavanderia com armários
🚽 Lavabo + banheiro social",1350000,,136,3,4,3,3,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Avenida Emílio Trevisan,550,-20.827611,-49.3833542,,
6,184,Apartamento com 03 dormitórios no 15º no centro de São José do Rio Preto,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905443127856530/qnqifpa2nty5zji0nmm3zwiz_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905439755173792/iq2bgue2nty5zji0mzzjzgey_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905440650758217/iavh10e2nty5zji0nduzngu1_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905441473331839/jjgus5w2nty5zji0nti4mwrl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905442290287155/6op7ars2nty5zji0nwvmotyz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905443894784787/5dzwyww2nty5zji0nzhmmgex_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905444701688615/y3lgtik2nty5zji0odvmztmy_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905445417507050/9xucfas2nty5zji0otfhnzcy_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905446290026304/e0nh4rm2nty5zji0owvmnzq4_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905447142162703/6wlzwt82nty5zji0ywninmu2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/5905447885460591/polakc2nty5zji0yjhjyzex_md.jpg""]",Residential / Apartment,"Sala ampla com sacada para avenida Bady Bassit e pisos em porcelanato
Cozinha rica em armários e porta de vidro separando a sala
Corredor com papel de parede
Lavanderia toda em porcelanato
Banheiro social com box de vidro
03 dormitórios todos com armário e piso em taco de madeira
O dormitório do casal com banheiro e piso em porcelanato",250000,155,155,3,2,1,,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Avenida Bady Bassitt,2862,-20.8083107,-49.3821144,,
7,439,Apartamento no Edifício Humaita em São José do Rio Preto,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/32577009779536/ka6o4002ody1oguzmzi2mjlm_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/67178899262329/gtkpi2ody1oguxmja4zju4_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/10542370893564/ofdxc582ody1oguxnjdkndlj_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/78338389062659/ibhqzcw2ody1oguxytgzmtk1_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/78342168675069/apnoqng2ody1oguxztrkngrj_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/24768950885051/mvjlkdy2ody1oguymjezzjvl_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/10557678198928/joaylci2ody1oguynwm4njjm_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/10561756323044/jn3tumi2ody1oguyowrindnk_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/78357249067937/leucrdg2ody1oguyzdywzge3_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/24783313380616/koyils42ody1oguzmdzlzwu2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/24788829141624/mjdoubi2ody1oguznwvjyjy5_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/32582480834120/p2yq2ue2ody1oguzodk5mtdm_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/32585716997152/uvz8eku2ody1oguzymqyyjmw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/32589156253440/nrhnik82ody1oguzzjq5yjri_md.jpg""]",Residential / Apartment,"🏡 Apartamento à venda – Edifício Humaitá
✨ 110m² de conforto e praticidade!

✔️ 3 dormitórios com armários (1 suíte)
✔️ Sala ampla para 2 ambientes + sacada
✔️ Cozinha espaçosa com armários
✔️ Banheiro social + de serviço
✔️ Lavanderia
✔️ 1 vaga coberta e fixa

🏢 Condomínio com portaria 24h, salão de festas e bicicletário
💰 R$ 420.000,00
📦 Condomínio: R$ 900 (água e gás inclusos)
📑 IPTU: R$ 157/mês

Entre em contato e agende sua visita! 🗝️",420000,110,110,3,3,1,1,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Rua Coronel Spínola de Castro,3659,-20.8144818,-49.3865382,,
8,235,Apartamento no Higienópolis em São José do Rio Preto,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2195041423376302/hb889mu2ntmxntq4ntfizjjj_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2195057171358885/ynwoay42ntmxntq5ngqyodgz_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2195059260266601/whenilk2ntmxntq5nmu3ywi2_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2195060227958166/vpmcauw2ntmxntq5n2uwnwqw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/2195061158853366/czxlr1a2ntmxntq5ognmn2uy_md.jpg""]",Residential / Apartment,"🎯Apartamento no Bairro Higienópolis - Zona Sul de Rio Preto.

✅01 Dormitório
✅Banheiro social com box
✅Sala ampla para dois ambientes
✅Cozinha/Lavanderia
✅Vaga coberta para 01 carro

Agende sua visita

📲17  99172-6078
💳Creci 214072F


Visite nosso site: www.valteirimoveis.com.br

#estudande #Medico #apartamento #zonasul #altopadrao #casa #moradia",180000,45,45,1,1,,1,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Rua Roldão Zampieri,550,-20.8366701,-49.3885619,,
9,258,Apartamento no Bairro Higienópolis em São José do Rio Preto - SP,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638953908072118/gu431nu2ntu2owywzdkyngyx_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638954458570122/5uccyfk2ntu2owywzti0oday_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638954930921093/89h77fa2ntu2owywztk3ztqx_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638955413739927/meyoko42ntu2owywzje5othm_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638955924454554/viyitne2ntu2owywzjk2ngvh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638952925404270/ia1zc542ntu2owywyzk2oguy_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638953448444453/cq1qxpc2ntu2owywzdiymwjh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638956392031863/hs6jq4o2ntu2owyxmde0ntfi_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/4638956882074115/autrkwy2ntu2owyxmdhiztll_md.jpg""]",Residential / Apartment,"*Apartamento no Bairro Higienópolis em São José do Rio Preto*

📐70m²

✅03 dormitórios sendo uma suíte;
✅Banheiro social;
✅Sala com sacada;
✅Cozinha com planejados;
✅Piscina;
✅Brinquedoteca;
✅Salão de festas;
✅Academia;
✅Playgrond;
✅Portaria 24hrs;
✅Elevador;

Condomínio R$ 380,00

Valor do imóvel 💲 300.000,00

🎯Não aceita permuta

Agende sua visita

📲17 99172-6078
💳Creci 214072F

Visite nosso site: www.valteirimoveis.com.br",300000,45,45,3,2,1,1,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Rua Padre Clemente Marton Segura,350,-20.8387995,-49.3889448,,
10,344,Condomínio Residencial Venice - Higienópolis na zona sul de S. José do rio Preto,For Sale,STANDARD,https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454527684248368/hi5uoi02nju3mzrlmzviytli_md.jpg,"[""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454519593773934/z6mfn082nju3mzrkyjq1nzew_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454520489569832/xq0b7do2nju3mzrkyzjjmtky_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454521452387054/zfdtg2nju3mzrkzdiyztgw_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454522418305966/ugmaanu2nju3mzrkztfhyjzh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454523402229132/kerfjzc2nju3mzrkzje2y2ri_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454524227796263/onedrg2nju3mzrkzmuwm2u4_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454526419850731/njw1jo2nju3mzrlmjfhzwy5_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454529502804364/qkziky2nju3mzrlntjmntzh_md.jpg"",""https://cdn3.praedium.com.br/1700g8BocjY0sIkrqD1/21454530523729954/ena0sua2nju3mzrlnjm0n2e5_md.jpg""]",Residential / Apartment,"Higienópolis Zona Sul de São José do Rio Preto - SP 

📐83,66m² útil
📐19,21m² área garagem 

✅️03 dormitórios sendo uma suíte 
✅️Sala ampla para dois ambientes e com sacada
✅️3⁰ andar escada
✅️Duas vagas de garagem tipo gaveta 
✅️Banheiro social
✅️Cozinha rica em armários 
✅️Lavanderia
✅️Banheiro na área de serviço 

📍Em frente a nova UBS do Higienópolis 

✔️Condomínio R$ 300,00 (incluso água e gás)

💰R$ 300.000,00

Agende sua vista 

📲17 99172-6078 
💳Creci 214072F 

🌐Visite nosso site: www.valteirimoveis.com.br",320000,103,84,3,3,1,2,Brasil,São Paulo,São José do Rio Preto,Vila Redentora,Rua Luiz Carlos Spínola,220,-20.8389866,-49.3839691,,
